Failure Analysis Date,"Start Date
00:00:00","End Date
00:00:00",Analyzed by,SPOC Single Point of Contact,FWU Error Code,Server Serial No,From Bundle Version,Target Bundle Version,iLO version,Server Model,iSUT version,COM4VC version,"Upgrade type sequence (BMC, SUT, UEFI, Reset, Wait)","Failed Component details(Filename -> Component name -> From version -> To version)",Analysis details,Update Type,"Customer retry suceeded",Defect ID,Next action item,Product,Sub category,Broad Category (FWE-102),Region,Customer Name/Application Customer ID/Workspace ID
 ,10/1/2025,10/2/2025,Ambika,,FWE-102,867959-B21+MXQ1310RH5,,2025.05.00.00,ilo 5 3.15,ProLiant DL360 Gen10,3.0.0,No,"SUT, UEFI, BMC.",,"34e3e6ca-a043-4669-a75f-4628e75aaece

All 6 compionents failed to update.
['6', '6', 'SPP 2025.05.00.00 (10 Jun 2025)', 'Firmware Package  - HPE Smart Array P408i-p, P408e-p, P408i-a, \n\nFW for Server Platform Services (SPS) Firmware for HPE Gen10 Se\n\nHPE Broadcom NX1 Online Firmware Upgrade Utility Windows Server\n\nFW for HPE Smart Array P408i-p, P408e-p, P408i-a, P408i-c, P204\n\nAgentless Management Service for Microsoft Windows x64\n\nIntegrated Smart Update Tools for Windows x64']}
OS installed is Microsoft Windows Server 2019 Standard-10.0.17763

Here installed version of SUT is 3.00 and it is trying to get updated to 6.2.0 and there is AMS, Resetserver (by SUT), followed by type-c components in the queue. ,

SUT last operation time matches with fwu time that shows SUT is up and running.

Raised CSFE-85845 against iLO
Bundle update timing out as the ilO didn't pick the first component itself. AHS logs shows ""libfwrepo : fwrepo_open : repo open failed : err = 209\n"" 


AHS available at 	
13f2744608aa11ef8f934252ab53af36/867959-B21+MXQ1310RH5/2025-09-30_23-05-11_867959-B21+MXQ1310RH5_FWUFailure.ahs

Also raised support form to collect SUT logs as the SUT is the first component to update in the sequence here and wanted to check whether that is causing timeout. cASEID: 5392631593",Online,No,CSFE-85845,,,,,ccprodusw2,"13f2744608aa11ef8f934252ab53af36
Bank of Montreal QA"
10/1/2025,9/30/2025,10/1/2025,Divya,,FWE-102,867959-B21+MXQ1310RH5,,2025.07.00.00,iLO5 3.15v,ProLiant DL360 Gen10,3.0.0v,NO,"BMC, UEFI, SUT ","cp067430.exe
From 3.0.0v to 6.2.0v

cp066437.exe
From 2.51.2v to 2.60.3v

cp066650.exe
From 20.22.41v to 20.33.41v

cp065146.exe
From 5.32v to 5.61v

SPSGen10_04.01.05.105.fwpkg
From 4.1.4.804v to 04.01.05.105v

HPE_SR_Gen10_7.43_A.fwpkg
From 5.31v to 7.43v","ae01b11f-b3d5-415d-bcc7-657f858a71c2

2025-09-30 07:54:36.901
OS: Microsoft Windows Server 2019 Standard
Firmware update failed for 6/17 components

all the components failed in both 1st and 2nd attempts

AHS analasys: Sut upgrade failed from 3.0.0 to 6.2.0v
No proper static sut logs available, need to request sut logs 

3/10: Get SUT logs
cASEID: 5392631593",Online,retry not succeeded,,,,,,ccprodusw2,"13f2744608aa11ef8f934252ab53af36
Bank of Montreal QA"
10/1/2025,9/30/2025,10/1/2025,Divya,,FWE-102,872309-B21+2M213502Z3,,2025.07.00.00,iLO5 3.15v,ProLiant ML110 Gen10,6.0.0,No,"Uefi, BMC","cp066650.exe
from version 20.22.41 to 20.33.41 version

cp065146.exe
From 5.32v to 5.61v

SPSGen10_04.01.05.105.fwpkg
From 4.1.4.804v to  04.01.05.105v

HPE_SR_Gen10_7.43_A.fwpkg
From 5.32v to 7.43v
","194c6e46-e1ac-4973-8a69-0e5e57011314

2025 - 09 - 30 05: 01: 41.789
Firmware update failed for 4/14 components
OS: Microsoft Windows Server 2019 Standard

As per FirmwareUpdateGetBundleReport 4 components went in to killed state in both 1st and 2nd attempts

AHS Analasys : Bundle update failed due to timeout after 2hours, with Killing DSE : reason: bundle update process timed out.
 Server reset task not happened.

3/10: Why other components were not killed - Check 
Needs further analysis - Naresh/Ambika
8/10:<Naresh>The server reset is not done. Due to server reset is not done all the other components after that was not been picked. Those components are UEFI and Again by RA. We can see that 2 server resets in the sequnce. (will confirm with olive team once on muliple server resets)
Why server reset is not done by RA/iSUT. waiting for AHS. 
10/10:AHS did not have iSUT logs. Request for iSUT logs. 

",Online,No retry,,,,,,ccprodusw2,"13f2744608aa11ef8f934252ab53af36
Bank of Montreal QA"
10/1/2025,9/30/2025,10/1/2025,Sowmya,,PFWE-000,P06762-B21+CZJ0170BJV,,,,ProLiant ML30 Gen10,6.2.0,,,,"ab2bed3d-ef60-466e-a2a3-f9ca0fbdce28
Humio logs,
[Step FirmwareUpdateGetSystemsData]:2381 
Exception occurred while executing FirmwareUpdate.New job:  StateChangeReason: {'message_id': 'PFWE-000', 'message_args': ['\n\n Unable to update firmware because server device discovery has not completed

DeviceDiscovery': 'vMainDeviceDiscoveryComplete', 'AMSDeviceDiscovery': 'NoAMS', 'SmartArrayDiscovery': 'Complete', 'ServerFirmwareInventoryComplete': True

PostState: InPostDiscoveryComplete
PowerState: On
is_preflightcheck_skipped: false
prerequisite_check: True
autoReboot: True",,,,,,,,ccprodeuc1,60eb344e7fc011efad8d66c3222d1974
10/1/2025,9/30/2025,10/1/2025,Karunakar,,FWE-102,P06762-B21+CZJ03203RY,,SPP 2025.07.00.00 (08 Aug 2025),iLO 5 v3.15,ProLiant ML30 Gen10,6.0.0,No,BMC,"Firmware Package  - HPE Smart Array P408i-p, P408e-p, P408i-a,

'Version': '2.65' to '7.43'","0ea57c57-185a-437a-8e42-1eb6613fe13b
Firmware update failed for 1/10 components
2025-09-30 13:17:22
VMware ESXi  8.0.3
As per the bundle report , component went in to exception in both the attempts

09/30/2025 13:16:15,DSE : calling msg_BundleUpdateComponentInstallationFailed for InternalError : msgindex = 8 message = HPE_SR_Gen10_7.43_A.fwpkg

09/30/2025 12:40:01,667042: Firmware update failed   with reason: this update requires system power ON

09/30/2025 13:16:13,667108: Firmware update failed   with reason: No matching target found

3/10: Check if it is the same issue that exists with SR component.
Verify if Bunny Hop exists.
NEed further analysis - Ambika
Raised new defect on Component and Olive
Raise one more defect on Olive.
Karunakar: Raised a defect on Olive CCSE-99404",Online,No retry,"IRP-24084
CCSE-96324
CCSE-99404",,,,,ccprodeuc1,"475c1b747fc011ef9dc0222dd88be877

PBV"
10/1/2025,9/30/2025,10/1/2025,Sowmya,,PFWE-000,P19766-B21+MXQ2120NJL,,,,,,,,,"1fd62c19-090d-4c0b-9fa3-a7ee8c5f9107
Same as above",,,,,,,,ccprodusw2,834a7e92f9e511efb1018ad478755d16
10/1/2025,9/30/2025,10/1/2025,Sowmya,,PFWE-000,P19766-B21+MXQ2120NJL,,,,,,,,,"44917924-961c-443f-917f-5866d39ad1a0
Same as above",,,,,,,,ccprodusw2,834a7e92f9e511efb1018ad478755d16
10/1/2025,9/30/2025,10/1/2025,Sowmya,,PFWE-000,P19766-B21+MXQ2120NJL,,,,ProLiant DL360 Gen10,6.2.0.,COM4VC-V1.4.0,,,"75321680-711b-43af-a0dd-7d9a0cb2d1f5

Humio logs,
Exception occurred while executing FirmwareUpdate.New job: 
StateChangeReason: {'message_id': 'PFWE-000', 'message_args': ['\n\n Unable to update firmware because server device discovery has not completed.

AMSDeviceDiscovery': 'Complete', 'SmartArrayDiscovery': 'PendingSoftwareRAID', 'ServerFirmwareInventoryComplete': False
Powerstate: on
PostState: FinishedPost
is_preflightcheck_skipped: False
prerequisite_check: True",Online,No retry,,,,,,ccprodusw2,834a7e92f9e511efb1018ad478755d16
10/1/2025,9/30/2025,10/1/2025,Sowmya,,PFWE-000,P19766-B21+MXQ2120NJL,,,,ProLiant DL360 Gen10,6.2.0.,COM4VC-V1.4.0,,,"75321680-711b-43af-a0dd-7d9a0cb2d1f5

Humio logs,
Exception occurred while executing FirmwareUpdate.New job: 
StateChangeReason: {'message_id': 'PFWE-000', 'message_args': ['\n\n Unable to update firmware because server device discovery has not completed.

AMSDeviceDiscovery': 'Complete', 'SmartArrayDiscovery': 'PendingSoftwareRAID', 'ServerFirmwareInventoryComplete': False
Powerstate: on
PostState: FinishedPost
is_preflightcheck_skipped: False
prerequisite_check: True",,,,,,,,ccprodusw2,834a7e92f9e511efb1018ad478755d16
10/1/2025,9/30/2025,10/1/2025,Ambika,,FWE-102,P19772-B21+MXQ00202PV,,2025.07.00.00,,,6.1.0,No,SUT,,"cf348bbf-0d6a-4269-96d0-fd425c91e7d5

VMware ESXi-8.0.3 Build-24859861 Update 3 Patch 79

SUT upgrade from 6.1.0 to 6.2.0 is failing

Retry by cusotmer succeeded (space issue) ",Online,yes,,,,,,ccprodusw2,"5031c06c0bd111f0a557aa446ac547c8
Technifab Inc"
